Protein_1	Protein_2
fadB2	Rv0508
fadB2	cysG
fadB2	Rv0531
fadB2	Rv0547c
fadB2	menB
fadB2	bpoC
fadB2	gpdA1
fadB2	Rv0679c
fadB2	sigL
fadB2	Rv0737
fadB2	mmsA
fadB2	Rv0775
fadB2	Rv0926c
Rv0472c	hbhA
Rv0472c	Rv0477
Rv0472c	Rv0479c
Rv0472c	Rv0480c
Rv0472c	Rv0484c
Rv0472c	senX3
Rv0472c	Rv0497
Rv0472c	hemC
Rv0472c	Rv0516c
Rv0472c	Rv0525
Rv0472c	Rv0535
Rv0472c	Rv0541c
Rv0472c	fadD8
Rv0472c	mgtA
Rv0472c	grcC1
Rv0472c	htpX
Rv0472c	Rv0566c
Rv0472c	cyp135B1
Rv0472c	Rv0575c
Rv0472c	Rv0576
Rv0472c	Rv0580c
Rv0472c	lpqN
Rv0472c	mce2C
Rv0472c	mce2D
Rv0472c	Rv0600c
Rv0472c	galK
Rv0472c	echA3
Rv0472c	nusG
Rv0472c	Rv0658c
Rv0472c	rpoB
Rv0472c	Rv0669c
Rv0472c	lpqP
Rv0472c	echA4
Rv0472c	Rv0686
Rv0472c	Rv0695
Rv0472c	Rv0697
Rv0472c	atsA
Rv0472c	Rv0712
Rv0472c	Rv0713
Rv0472c	Rv0725c
Rv0472c	Rv0726c
Rv0472c	fucA
Rv0472c	Rv0731c
Rv0472c	Rv0738
Rv0472c	mmsB
Rv0472c	Rv0756c
Rv0472c	Rv0791c
Rv0472c	Rv0825c
Rv0472c	kmtR
Rv0472c	Rv0830
Rv0472c	moaE2
Rv0472c	Rv0877
Rv0472c	Rv0893c
Rv0472c	Rv0909
Rv0472c	Rv0958
Rv0472c	Rv0965c
Rv0472c	accA2
Rv0472c	grcC2
Rv0474	Rv0476
Rv0474	Rv0498
Rv0474	mmpL2
Rv0474	hemA
Rv0474	Rv0513
Rv0474	Rv0514
Rv0474	Rv0530
Rv0474	galE2
Rv0474	Rv0556
Rv0474	yrbE2A
Rv0474	mmpL5
Rv0474	rpsQ
Rv0474	rslA
Rv0474	Rv0759c
Rv0474	Rv0767c
Rv0474	Rv0810c
Rv0474	Rv0814c
Rv0474	phoT
Rv0474	phoY2
Rv0474	mog
Rv0474	Rv0870c
Rv0474	Rv0898c
Rv0474	echA6
Rv0474	pstB
Rv0474	csoR
Rv0474	ctpV
Rv0474	moaB2
hbhA	Rv0477
hbhA	Rv0479c
hbhA	Rv0480c
hbhA	Rv0484c
hbhA	senX3
hbhA	Rv0497
hbhA	hemC
hbhA	Rv0516c
hbhA	Rv0525
hbhA	Rv0535
hbhA	Rv0541c
hbhA	fadD8
hbhA	mgtA
hbhA	grcC1
hbhA	htpX
hbhA	Rv0566c
hbhA	cyp135B1
hbhA	Rv0575c
hbhA	Rv0576
hbhA	Rv0580c
hbhA	lpqN
hbhA	mce2C
hbhA	mce2D
hbhA	Rv0600c
hbhA	galK
hbhA	echA3
hbhA	nusG
hbhA	Rv0658c
hbhA	rpoB
hbhA	Rv0669c
hbhA	lpqP
hbhA	echA4
hbhA	Rv0686
hbhA	Rv0695
hbhA	Rv0697
hbhA	atsA
hbhA	Rv0712
hbhA	Rv0713
hbhA	Rv0725c
hbhA	Rv0726c
hbhA	fucA
hbhA	Rv0731c
hbhA	Rv0738
hbhA	mmsB
hbhA	Rv0756c
hbhA	Rv0791c
hbhA	Rv0825c
hbhA	kmtR
hbhA	Rv0830
hbhA	moaE2
hbhA	Rv0877
hbhA	Rv0893c
hbhA	Rv0909
hbhA	Rv0958
hbhA	Rv0965c
hbhA	accA2
hbhA	grcC2
Rv0476	Rv0498
Rv0476	mmpL2
Rv0476	hemA
Rv0476	Rv0513
Rv0476	Rv0514
Rv0476	Rv0530
Rv0476	galE2
Rv0476	Rv0556
Rv0476	yrbE2A
Rv0476	mmpL5
Rv0476	rpsQ
Rv0476	rslA
Rv0476	Rv0759c
Rv0476	Rv0767c
Rv0476	Rv0810c
Rv0476	Rv0814c
Rv0476	phoT
Rv0476	phoY2
Rv0476	mog
Rv0476	Rv0870c
Rv0476	Rv0898c
Rv0476	echA6
Rv0476	pstB
Rv0476	csoR
Rv0476	ctpV
Rv0476	moaB2
Rv0477	Rv0479c
Rv0477	Rv0480c
Rv0477	Rv0484c
Rv0477	senX3
Rv0477	Rv0497
Rv0477	hemC
Rv0477	Rv0516c
Rv0477	Rv0525
Rv0477	Rv0535
Rv0477	Rv0541c
Rv0477	fadD8
Rv0477	mgtA
Rv0477	grcC1
Rv0477	htpX
Rv0477	Rv0566c
Rv0477	cyp135B1
Rv0477	Rv0575c
Rv0477	Rv0576
Rv0477	Rv0580c
Rv0477	lpqN
Rv0477	mce2C
Rv0477	mce2D
Rv0477	Rv0600c
Rv0477	galK
Rv0477	echA3
Rv0477	nusG
Rv0477	Rv0658c
Rv0477	rpoB
Rv0477	Rv0669c
Rv0477	lpqP
Rv0477	echA4
Rv0477	Rv0686
Rv0477	Rv0695
Rv0477	Rv0697
Rv0477	atsA
Rv0477	Rv0712
Rv0477	Rv0713
Rv0477	Rv0725c
Rv0477	Rv0726c
Rv0477	fucA
Rv0477	Rv0731c
Rv0477	Rv0738
Rv0477	mmsB
Rv0477	Rv0756c
Rv0477	Rv0791c
Rv0477	Rv0825c
Rv0477	kmtR
Rv0477	Rv0830
Rv0477	moaE2
Rv0477	Rv0877
Rv0477	Rv0893c
Rv0477	Rv0909
Rv0477	Rv0958
Rv0477	Rv0965c
Rv0477	accA2
Rv0477	grcC2
deoC	murB
deoC	galE1
deoC	Rv0502
deoC	hemL
deoC	ccsA
deoC	Rv0569
deoC	mce2R
deoC	vapB30
deoC	Rv0689c
deoC	Rv0792c
deoC	Rv0852
deoC	prrB
deoC	pepD
Rv0479c	Rv0480c
Rv0479c	Rv0484c
Rv0479c	senX3
Rv0479c	Rv0497
Rv0479c	hemC
Rv0479c	Rv0516c
Rv0479c	Rv0525
Rv0479c	Rv0535
Rv0479c	Rv0541c
Rv0479c	fadD8
Rv0479c	mgtA
Rv0479c	grcC1
Rv0479c	htpX
Rv0479c	Rv0566c
Rv0479c	cyp135B1
Rv0479c	Rv0575c
Rv0479c	Rv0576
Rv0479c	Rv0580c
Rv0479c	lpqN
Rv0479c	mce2C
Rv0479c	mce2D
Rv0479c	Rv0600c
Rv0479c	galK
Rv0479c	echA3
Rv0479c	nusG
Rv0479c	Rv0658c
Rv0479c	rpoB
Rv0479c	Rv0669c
Rv0479c	lpqP
Rv0479c	echA4
Rv0479c	Rv0686
Rv0479c	Rv0695
Rv0479c	Rv0697
Rv0479c	atsA
Rv0479c	Rv0712
Rv0479c	Rv0713
Rv0479c	Rv0725c
Rv0479c	Rv0726c
Rv0479c	fucA
Rv0479c	Rv0731c
Rv0479c	Rv0738
Rv0479c	mmsB
Rv0479c	Rv0756c
Rv0479c	Rv0791c
Rv0479c	Rv0825c
Rv0479c	kmtR
Rv0479c	Rv0830
Rv0479c	moaE2
Rv0479c	Rv0877
Rv0479c	Rv0893c
Rv0479c	Rv0909
Rv0479c	Rv0958
Rv0479c	Rv0965c
Rv0479c	accA2
Rv0479c	grcC2
Rv0480c	Rv0484c
Rv0480c	senX3
Rv0480c	Rv0497
Rv0480c	hemC
Rv0480c	Rv0516c
Rv0480c	Rv0525
Rv0480c	Rv0535
Rv0480c	Rv0541c
Rv0480c	fadD8
Rv0480c	mgtA
Rv0480c	grcC1
Rv0480c	htpX
Rv0480c	Rv0566c
Rv0480c	cyp135B1
Rv0480c	Rv0575c
Rv0480c	Rv0576
Rv0480c	Rv0580c
Rv0480c	lpqN
Rv0480c	mce2C
Rv0480c	mce2D
Rv0480c	Rv0600c
Rv0480c	galK
Rv0480c	echA3
Rv0480c	nusG
Rv0480c	Rv0658c
Rv0480c	rpoB
Rv0480c	Rv0669c
Rv0480c	lpqP
Rv0480c	echA4
Rv0480c	Rv0686
Rv0480c	Rv0695
Rv0480c	Rv0697
Rv0480c	atsA
Rv0480c	Rv0712
Rv0480c	Rv0713
Rv0480c	Rv0725c
Rv0480c	Rv0726c
Rv0480c	fucA
Rv0480c	Rv0731c
Rv0480c	Rv0738
Rv0480c	mmsB
Rv0480c	Rv0756c
Rv0480c	Rv0791c
Rv0480c	Rv0825c
Rv0480c	kmtR
Rv0480c	Rv0830
Rv0480c	moaE2
Rv0480c	Rv0877
Rv0480c	Rv0893c
Rv0480c	Rv0909
Rv0480c	Rv0958
Rv0480c	Rv0965c
Rv0480c	accA2
Rv0480c	grcC2
Rv0481c	Rv0487
Rv0481c	Rv0496
Rv0481c	mmpS2
Rv0481c	Rv0518
Rv0481c	Rv0526
Rv0481c	Rv0543c
Rv0481c	Rv0559c
Rv0481c	Rv0588
Rv0481c	mce2F
Rv0481c	mkl
Rv0481c	mmpS5
Rv0481c	Rv0680c
Rv0481c	Rv0681
Rv0481c	Rv0691c
Rv0481c	rplC
Rv0481c	rpmC
Rv0481c	rplN
murB	galE1
murB	Rv0502
murB	hemL
murB	ccsA
murB	Rv0569
murB	mce2R
murB	vapB30
murB	Rv0689c
murB	Rv0792c
murB	Rv0852
murB	prrB
murB	pepD
Rv0484c	senX3
Rv0484c	Rv0497
Rv0484c	hemC
Rv0484c	Rv0516c
Rv0484c	Rv0525
Rv0484c	Rv0535
Rv0484c	Rv0541c
Rv0484c	fadD8
Rv0484c	mgtA
Rv0484c	grcC1
Rv0484c	htpX
Rv0484c	Rv0566c
Rv0484c	cyp135B1
Rv0484c	Rv0575c
Rv0484c	Rv0576
Rv0484c	Rv0580c
Rv0484c	lpqN
Rv0484c	mce2C
Rv0484c	mce2D
Rv0484c	Rv0600c
Rv0484c	galK
Rv0484c	echA3
Rv0484c	nusG
Rv0484c	Rv0658c
Rv0484c	rpoB
Rv0484c	Rv0669c
Rv0484c	lpqP
Rv0484c	echA4
Rv0484c	Rv0686
Rv0484c	Rv0695
Rv0484c	Rv0697
Rv0484c	atsA
Rv0484c	Rv0712
Rv0484c	Rv0713
Rv0484c	Rv0725c
Rv0484c	Rv0726c
Rv0484c	fucA
Rv0484c	Rv0731c
Rv0484c	Rv0738
Rv0484c	mmsB
Rv0484c	Rv0756c
Rv0484c	Rv0791c
Rv0484c	Rv0825c
Rv0484c	kmtR
Rv0484c	Rv0830
Rv0484c	moaE2
Rv0484c	Rv0877
Rv0484c	Rv0893c
Rv0484c	Rv0909
Rv0484c	Rv0958
Rv0484c	Rv0965c
Rv0484c	accA2
Rv0484c	grcC2
Rv0487	Rv0496
Rv0487	mmpS2
Rv0487	Rv0518
Rv0487	Rv0526
Rv0487	Rv0543c
Rv0487	Rv0559c
Rv0487	Rv0588
Rv0487	mce2F
Rv0487	mkl
Rv0487	mmpS5
Rv0487	Rv0680c
Rv0487	Rv0681
Rv0487	Rv0691c
Rv0487	rplC
Rv0487	rpmC
Rv0487	rplN
senX3	Rv0497
senX3	hemC
senX3	Rv0516c
senX3	Rv0525
senX3	Rv0535
senX3	Rv0541c
senX3	fadD8
senX3	mgtA
senX3	grcC1
senX3	htpX
senX3	Rv0566c
senX3	cyp135B1
senX3	Rv0575c
senX3	Rv0576
senX3	Rv0580c
senX3	lpqN
senX3	mce2C
senX3	mce2D
senX3	Rv0600c
senX3	galK
senX3	echA3
senX3	nusG
senX3	Rv0658c
senX3	rpoB
senX3	Rv0669c
senX3	lpqP
senX3	echA4
senX3	Rv0686
senX3	Rv0695
senX3	Rv0697
senX3	atsA
senX3	Rv0712
senX3	Rv0713
senX3	Rv0725c
senX3	Rv0726c
senX3	fucA
senX3	Rv0731c
senX3	Rv0738
senX3	mmsB
senX3	Rv0756c
senX3	Rv0791c
senX3	Rv0825c
senX3	kmtR
senX3	Rv0830
senX3	moaE2
senX3	Rv0877
senX3	Rv0893c
senX3	Rv0909
senX3	Rv0958
senX3	Rv0965c
senX3	accA2
senX3	grcC2
regX3	tcrA
regX3	hadB
regX3	rpsL
regX3	rplB
regX3	rpmD
regX3	Rv0730
regX3	narL
regX3	mscL
regX3	Rv0991c
Rv0494	Rv0508
Rv0494	cysG
Rv0494	Rv0531
Rv0494	Rv0547c
Rv0494	menB
Rv0494	bpoC
Rv0494	gpdA1
Rv0494	Rv0679c
Rv0494	sigL
Rv0494	Rv0737
Rv0494	mmsA
Rv0494	Rv0775
Rv0494	Rv0926c
Rv0495c	Rv0517
Rv0495c	Rv0546c
Rv0495c	menD
Rv0495c	Rv0565c
Rv0495c	lprL
Rv0495c	Rv0633c
Rv0495c	Rv0762c
Rv0495c	Rv0763c
Rv0495c	Rv0765c
Rv0495c	Rv0769
Rv0495c	Rv0771
Rv0495c	Rv0776c
Rv0495c	purB
Rv0495c	cyp126
Rv0495c	Rv0779c
Rv0495c	purC
Rv0495c	emrB
Rv0495c	Rv0785
Rv0495c	Rv0786c
Rv0495c	cfp29
Rv0495c	Rv0801
Rv0495c	purF
Rv0495c	purM
Rv0495c	Rv0813c
Rv0495c	Rv0818
Rv0495c	lpqS
Rv0495c	Rv0849
Rv0495c	moaD2
Rv0495c	moaA2
Rv0495c	Rv0879c
Rv0495c	Rv0880
Rv0495c	Rv0885
Rv0495c	Rv0887c
Rv0495c	citA
Rv0495c	Rv0895
Rv0495c	gltA2
Rv0495c	accD3
Rv0495c	Rv0910
Rv0495c	pstC2
Rv0495c	pstA1
Rv0495c	mku
Rv0495c	Rv0940c
Rv0495c	Rv0954
Rv0495c	rimJ
Rv0496	mmpS2
Rv0496	Rv0518
Rv0496	Rv0526
Rv0496	Rv0543c
Rv0496	Rv0559c
Rv0496	Rv0588
Rv0496	mce2F
Rv0496	mkl
Rv0496	mmpS5
Rv0496	Rv0680c
Rv0496	Rv0681
Rv0496	Rv0691c
Rv0496	rplC
Rv0496	rpmC
Rv0496	rplN
Rv0497	hemC
Rv0497	Rv0516c
Rv0497	Rv0525
Rv0497	Rv0535
Rv0497	Rv0541c
Rv0497	fadD8
Rv0497	mgtA
Rv0497	grcC1
Rv0497	htpX
Rv0497	Rv0566c
Rv0497	cyp135B1
Rv0497	Rv0575c
Rv0497	Rv0576
Rv0497	Rv0580c
Rv0497	lpqN
Rv0497	mce2C
Rv0497	mce2D
Rv0497	Rv0600c
Rv0497	galK
Rv0497	echA3
Rv0497	nusG
Rv0497	Rv0658c
Rv0497	rpoB
Rv0497	Rv0669c
Rv0497	lpqP
Rv0497	echA4
Rv0497	Rv0686
Rv0497	Rv0695
Rv0497	Rv0697
Rv0497	atsA
Rv0497	Rv0712
Rv0497	Rv0713
Rv0497	Rv0725c
Rv0497	Rv0726c
Rv0497	fucA
Rv0497	Rv0731c
Rv0497	Rv0738
Rv0497	mmsB
Rv0497	Rv0756c
Rv0497	Rv0791c
Rv0497	Rv0825c
Rv0497	kmtR
Rv0497	Rv0830
Rv0497	moaE2
Rv0497	Rv0877
Rv0497	Rv0893c
Rv0497	Rv0909
Rv0497	Rv0958
Rv0497	Rv0965c
Rv0497	accA2
Rv0497	grcC2
Rv0498	mmpL2
Rv0498	hemA
Rv0498	Rv0513
Rv0498	Rv0514
Rv0498	Rv0530
Rv0498	galE2
Rv0498	Rv0556
Rv0498	yrbE2A
Rv0498	mmpL5
Rv0498	rpsQ
Rv0498	rslA
Rv0498	Rv0759c
Rv0498	Rv0767c
Rv0498	Rv0810c
Rv0498	Rv0814c
Rv0498	phoT
Rv0498	phoY2
Rv0498	mog
Rv0498	Rv0870c
Rv0498	Rv0898c
Rv0498	echA6
Rv0498	pstB
Rv0498	csoR
Rv0498	ctpV
Rv0498	moaB2
galE1	Rv0502
galE1	hemL
galE1	ccsA
galE1	Rv0569
galE1	mce2R
galE1	vapB30
galE1	Rv0689c
galE1	Rv0792c
galE1	Rv0852
galE1	prrB
galE1	pepD
Rv0502	hemL
Rv0502	ccsA
Rv0502	Rv0569
Rv0502	mce2R
Rv0502	vapB30
Rv0502	Rv0689c
Rv0502	Rv0792c
Rv0502	Rv0852
Rv0502	prrB
Rv0502	pepD
cmaA2	hadA
cmaA2	hadC
cmaA2	rplK
cmaA2	rplA
cmaA2	mmaA4
cmaA2	mmaA3
cmaA2	mmaA2
cmaA2	mmaA1
cmaA2	rplL
cmaA2	rpsG
cmaA2	tuf
cmaA2	rpsJ
cmaA2	rplW
cmaA2	rpsS
cmaA2	rplP
cmaA2	rplX
cmaA2	rplE
cmaA2	rpsH
cmaA2	rplF
cmaA2	rpsE
cmaA2	secY
cmaA2	adk
cmaA2	phoP
cmaA2	cysA2
cmaA2	cspB
cmaA2	Rv0890c
cmaA2	prrA
cmaA2	mprA
cmaA2	Rv0986
Rv0504c	rpoC
Rv0504c	end
Rv0504c	Rv0696
Rv0504c	rplD
Rv0504c	rplV
Rv0504c	Rv0948c
Rv0504c	Rv0968
mmpS2	Rv0518
mmpS2	Rv0526
mmpS2	Rv0543c
mmpS2	Rv0559c
mmpS2	Rv0588
mmpS2	mce2F
mmpS2	mkl
mmpS2	mmpS5
mmpS2	Rv0680c
mmpS2	Rv0681
mmpS2	Rv0691c
mmpS2	rplC
mmpS2	rpmC
mmpS2	rplN
mmpL2	hemA
mmpL2	Rv0513
mmpL2	Rv0514
mmpL2	Rv0530
mmpL2	galE2
mmpL2	Rv0556
mmpL2	yrbE2A
mmpL2	mmpL5
mmpL2	rpsQ
mmpL2	rslA
mmpL2	Rv0759c
mmpL2	Rv0767c
mmpL2	Rv0810c
mmpL2	Rv0814c
mmpL2	phoT
mmpL2	phoY2
mmpL2	mog
mmpL2	Rv0870c
mmpL2	Rv0898c
mmpL2	echA6
mmpL2	pstB
mmpL2	csoR
mmpL2	ctpV
mmpL2	moaB2
Rv0508	cysG
Rv0508	Rv0531
Rv0508	Rv0547c
Rv0508	menB
Rv0508	bpoC
Rv0508	gpdA1
Rv0508	Rv0679c
Rv0508	sigL
Rv0508	Rv0737
Rv0508	mmsA
Rv0508	Rv0775
Rv0508	Rv0926c
hemA	Rv0513
hemA	Rv0514
hemA	Rv0530
hemA	galE2
hemA	Rv0556
hemA	yrbE2A
hemA	mmpL5
hemA	rpsQ
hemA	rslA
hemA	Rv0759c
hemA	Rv0767c
hemA	Rv0810c
hemA	Rv0814c
hemA	phoT
hemA	phoY2
hemA	mog
hemA	Rv0870c
hemA	Rv0898c
hemA	echA6
hemA	pstB
hemA	csoR
hemA	ctpV
hemA	moaB2
hemC	Rv0516c
hemC	Rv0525
hemC	Rv0535
hemC	Rv0541c
hemC	fadD8
hemC	mgtA
hemC	grcC1
hemC	htpX
hemC	Rv0566c
hemC	cyp135B1
hemC	Rv0575c
hemC	Rv0576
hemC	Rv0580c
hemC	lpqN
hemC	mce2C
hemC	mce2D
hemC	Rv0600c
hemC	galK
hemC	echA3
hemC	nusG
hemC	Rv0658c
hemC	rpoB
hemC	Rv0669c
hemC	lpqP
hemC	echA4
hemC	Rv0686
hemC	Rv0695
hemC	Rv0697
hemC	atsA
hemC	Rv0712
hemC	Rv0713
hemC	Rv0725c
hemC	Rv0726c
hemC	fucA
hemC	Rv0731c
hemC	Rv0738
hemC	mmsB
hemC	Rv0756c
hemC	Rv0791c
hemC	Rv0825c
hemC	kmtR
hemC	Rv0830
hemC	moaE2
hemC	Rv0877
hemC	Rv0893c
hemC	Rv0909
hemC	Rv0958
hemC	Rv0965c
hemC	accA2
hemC	grcC2
cysG	Rv0531
cysG	Rv0547c
cysG	menB
cysG	bpoC
cysG	gpdA1
cysG	Rv0679c
cysG	sigL
cysG	Rv0737
cysG	mmsA
cysG	Rv0775
cysG	Rv0926c
Rv0513	Rv0514
Rv0513	Rv0530
Rv0513	galE2
Rv0513	Rv0556
Rv0513	yrbE2A
Rv0513	mmpL5
Rv0513	rpsQ
Rv0513	rslA
Rv0513	Rv0759c
Rv0513	Rv0767c
Rv0513	Rv0810c
Rv0513	Rv0814c
Rv0513	phoT
Rv0513	phoY2
Rv0513	mog
Rv0513	Rv0870c
Rv0513	Rv0898c
Rv0513	echA6
Rv0513	pstB
Rv0513	csoR
Rv0513	ctpV
Rv0513	moaB2
Rv0514	Rv0530
Rv0514	galE2
Rv0514	Rv0556
Rv0514	yrbE2A
Rv0514	mmpL5
Rv0514	rpsQ
Rv0514	rslA
Rv0514	Rv0759c
Rv0514	Rv0767c
Rv0514	Rv0810c
Rv0514	Rv0814c
Rv0514	phoT
Rv0514	phoY2
Rv0514	mog
Rv0514	Rv0870c
Rv0514	Rv0898c
Rv0514	echA6
Rv0514	pstB
Rv0514	csoR
Rv0514	ctpV
Rv0514	moaB2
Rv0516c	Rv0525
Rv0516c	Rv0535
Rv0516c	Rv0541c
Rv0516c	fadD8
Rv0516c	mgtA
Rv0516c	grcC1
Rv0516c	htpX
Rv0516c	Rv0566c
Rv0516c	cyp135B1
Rv0516c	Rv0575c
Rv0516c	Rv0576
Rv0516c	Rv0580c
Rv0516c	lpqN
Rv0516c	mce2C
Rv0516c	mce2D
Rv0516c	Rv0600c
Rv0516c	galK
Rv0516c	echA3
Rv0516c	nusG
Rv0516c	Rv0658c
Rv0516c	rpoB
Rv0516c	Rv0669c
Rv0516c	lpqP
Rv0516c	echA4
Rv0516c	Rv0686
Rv0516c	Rv0695
Rv0516c	Rv0697
Rv0516c	atsA
Rv0516c	Rv0712
Rv0516c	Rv0713
Rv0516c	Rv0725c
Rv0516c	Rv0726c
Rv0516c	fucA
Rv0516c	Rv0731c
Rv0516c	Rv0738
Rv0516c	mmsB
Rv0516c	Rv0756c
Rv0516c	Rv0791c
Rv0516c	Rv0825c
Rv0516c	kmtR
Rv0516c	Rv0830
Rv0516c	moaE2
Rv0516c	Rv0877
Rv0516c	Rv0893c
Rv0516c	Rv0909
Rv0516c	Rv0958
Rv0516c	Rv0965c
Rv0516c	accA2
Rv0516c	grcC2
Rv0517	Rv0546c
Rv0517	menD
Rv0517	Rv0565c
Rv0517	lprL
Rv0517	Rv0633c
Rv0517	Rv0762c
Rv0517	Rv0763c
Rv0517	Rv0765c
Rv0517	Rv0769
Rv0517	Rv0771
Rv0517	Rv0776c
Rv0517	purB
Rv0517	cyp126
Rv0517	Rv0779c
Rv0517	purC
Rv0517	emrB
Rv0517	Rv0785
Rv0517	Rv0786c
Rv0517	cfp29
Rv0517	Rv0801
Rv0517	purF
Rv0517	purM
Rv0517	Rv0813c
Rv0517	Rv0818
Rv0517	lpqS
Rv0517	Rv0849
Rv0517	moaD2
Rv0517	moaA2
Rv0517	Rv0879c
Rv0517	Rv0880
Rv0517	Rv0885
Rv0517	Rv0887c
Rv0517	citA
Rv0517	Rv0895
Rv0517	gltA2
Rv0517	accD3
Rv0517	Rv0910
Rv0517	pstC2
Rv0517	pstA1
Rv0517	mku
Rv0517	Rv0940c
Rv0517	Rv0954
Rv0517	rimJ
Rv0518	Rv0526
Rv0518	Rv0543c
Rv0518	Rv0559c
Rv0518	Rv0588
Rv0518	mce2F
Rv0518	mkl
Rv0518	mmpS5
Rv0518	Rv0680c
Rv0518	Rv0681
Rv0518	Rv0691c
Rv0518	rplC
Rv0518	rpmC
Rv0518	rplN
hemL	ccsA
hemL	Rv0569
hemL	mce2R
hemL	vapB30
hemL	Rv0689c
hemL	Rv0792c
hemL	Rv0852
hemL	prrB
hemL	pepD
Rv0525	Rv0535
Rv0525	Rv0541c
Rv0525	fadD8
Rv0525	mgtA
Rv0525	grcC1
Rv0525	htpX
Rv0525	Rv0566c
Rv0525	cyp135B1
Rv0525	Rv0575c
Rv0525	Rv0576
Rv0525	Rv0580c
Rv0525	lpqN
Rv0525	mce2C
Rv0525	mce2D
Rv0525	Rv0600c
Rv0525	galK
Rv0525	echA3
Rv0525	nusG
Rv0525	Rv0658c
Rv0525	rpoB
Rv0525	Rv0669c
Rv0525	lpqP
Rv0525	echA4
Rv0525	Rv0686
Rv0525	Rv0695
Rv0525	Rv0697
Rv0525	atsA
Rv0525	Rv0712
Rv0525	Rv0713
Rv0525	Rv0725c
Rv0525	Rv0726c
Rv0525	fucA
Rv0525	Rv0731c
Rv0525	Rv0738
Rv0525	mmsB
Rv0525	Rv0756c
Rv0525	Rv0791c
Rv0525	Rv0825c
Rv0525	kmtR
Rv0525	Rv0830
Rv0525	moaE2
Rv0525	Rv0877
Rv0525	Rv0893c
Rv0525	Rv0909
Rv0525	Rv0958
Rv0525	Rv0965c
Rv0525	accA2
Rv0525	grcC2
Rv0526	Rv0543c
Rv0526	Rv0559c
Rv0526	Rv0588
Rv0526	mce2F
Rv0526	mkl
Rv0526	mmpS5
Rv0526	Rv0680c
Rv0526	Rv0681
Rv0526	Rv0691c
Rv0526	rplC
Rv0526	rpmC
Rv0526	rplN
ccsA	Rv0569
ccsA	mce2R
ccsA	vapB30
ccsA	Rv0689c
ccsA	Rv0792c
ccsA	Rv0852
ccsA	prrB
ccsA	pepD
Rv0530	galE2
Rv0530	Rv0556
Rv0530	yrbE2A
Rv0530	mmpL5
Rv0530	rpsQ
Rv0530	rslA
Rv0530	Rv0759c
Rv0530	Rv0767c
Rv0530	Rv0810c
Rv0530	Rv0814c
Rv0530	phoT
Rv0530	phoY2
Rv0530	mog
Rv0530	Rv0870c
Rv0530	Rv0898c
Rv0530	echA6
Rv0530	pstB
Rv0530	csoR
Rv0530	ctpV
Rv0530	moaB2
Rv0531	Rv0547c
Rv0531	menB
Rv0531	bpoC
Rv0531	gpdA1
Rv0531	Rv0679c
Rv0531	sigL
Rv0531	Rv0737
Rv0531	mmsA
Rv0531	Rv0775
Rv0531	Rv0926c
Rv0535	Rv0541c
Rv0535	fadD8
Rv0535	mgtA
Rv0535	grcC1
Rv0535	htpX
Rv0535	Rv0566c
Rv0535	cyp135B1
Rv0535	Rv0575c
Rv0535	Rv0576
Rv0535	Rv0580c
Rv0535	lpqN
Rv0535	mce2C
Rv0535	mce2D
Rv0535	Rv0600c
Rv0535	galK
Rv0535	echA3
Rv0535	nusG
Rv0535	Rv0658c
Rv0535	rpoB
Rv0535	Rv0669c
Rv0535	lpqP
Rv0535	echA4
Rv0535	Rv0686
Rv0535	Rv0695
Rv0535	Rv0697
Rv0535	atsA
Rv0535	Rv0712
Rv0535	Rv0713
Rv0535	Rv0725c
Rv0535	Rv0726c
Rv0535	fucA
Rv0535	Rv0731c
Rv0535	Rv0738
Rv0535	mmsB
Rv0535	Rv0756c
Rv0535	Rv0791c
Rv0535	Rv0825c
Rv0535	kmtR
Rv0535	Rv0830
Rv0535	moaE2
Rv0535	Rv0877
Rv0535	Rv0893c
Rv0535	Rv0909
Rv0535	Rv0958
Rv0535	Rv0965c
Rv0535	accA2
Rv0535	grcC2
galE2	Rv0556
galE2	yrbE2A
galE2	mmpL5
galE2	rpsQ
galE2	rslA
galE2	Rv0759c
galE2	Rv0767c
galE2	Rv0810c
galE2	Rv0814c
galE2	phoT
galE2	phoY2
galE2	mog
galE2	Rv0870c
galE2	Rv0898c
galE2	echA6
galE2	pstB
galE2	csoR
galE2	ctpV
galE2	moaB2
Rv0541c	fadD8
Rv0541c	mgtA
Rv0541c	grcC1
Rv0541c	htpX
Rv0541c	Rv0566c
Rv0541c	cyp135B1
Rv0541c	Rv0575c
Rv0541c	Rv0576
Rv0541c	Rv0580c
Rv0541c	lpqN
Rv0541c	mce2C
Rv0541c	mce2D
Rv0541c	Rv0600c
Rv0541c	galK
Rv0541c	echA3
Rv0541c	nusG
Rv0541c	Rv0658c
Rv0541c	rpoB
Rv0541c	Rv0669c
Rv0541c	lpqP
Rv0541c	echA4
Rv0541c	Rv0686
Rv0541c	Rv0695
Rv0541c	Rv0697
Rv0541c	atsA
Rv0541c	Rv0712
Rv0541c	Rv0713
Rv0541c	Rv0725c
Rv0541c	Rv0726c
Rv0541c	fucA
Rv0541c	Rv0731c
Rv0541c	Rv0738
Rv0541c	mmsB
Rv0541c	Rv0756c
Rv0541c	Rv0791c
Rv0541c	Rv0825c
Rv0541c	kmtR
Rv0541c	Rv0830
